grid,probability
"(0, 0)",0.19
"(0, 1)",0.19
"(0, 2)",0.24
"(0, 3)",0.26
"(0, 4)",0.21
"(0, 5)",0.19
"(0, 6)",0.19
"(0, 7)",0.22
"(0, 8)",0.23
"(0, 9)",0.17
"(0, 10)",0.17
"(0, 11)",0.18
"(0, 12)",0.23
"(0, 13)",0.41
"(0, 14)",0.35
"(0, 15)",0.32
"(0, 16)",0.35
"(0, 17)",0.32
"(0, 18)",0.3
"(0, 19)",0.3
"(0, 20)",0.35
"(0, 21)",0.36
"(0, 22)",0.37
"(0, 23)",0.37
"(0, 24)",0.38
"(0, 25)",0.35
"(0, 26)",0.33
"(0, 27)",0.32
"(0, 28)",0.32
"(0, 29)",0.33
"(0, 30)",0.31
"(0, 31)",0.3
"(0, 32)",0.3
"(0, 33)",0.29
"(0, 34)",0.29
"(0, 35)",0.29
"(0, 36)",0.28
"(0, 37)",0.3
"(0, 38)",0.3
"(0, 39)",0.3
"(0, 40)",0.3
"(0, 41)",0.36
"(0, 42)",0.62
"(0, 43)",0.53
"(0, 44)",0.42
"(0, 45)",0.4
"(0, 46)",0.38
"(0, 47)",0.23
"(0, 48)",0.23
"(0, 49)",0.23
"(0, 50)",0.23
"(0, 51)",0.24
"(0, 52)",0.39
"(0, 53)",0.39
"(0, 54)",0.44
"(0, 55)",0.48
"(0, 56)",0.37
"(0, 57)",0.35
"(0, 58)",0.4
"(0, 59)",0.48
"(0, 60)",0.5
"(0, 61)",0.51
"(0, 62)",0.49
"(0, 63)",0.43
"(0, 64)",0.27
"(0, 65)",0.25
"(0, 66)",0.28
"(1, 0)",0.25
"(1, 1)",0.25
"(1, 2)",0.3
"(1, 3)",0.32
"(1, 4)",0.27
"(1, 5)",0.25
"(1, 6)",0.25
"(1, 7)",0.3
"(1, 8)",0.32
"(1, 9)",0.26
"(1, 10)",0.26
"(1, 11)",0.27
"(1, 12)",0.33
"(1, 13)",0.52
"(1, 14)",0.44
"(1, 15)",0.4
"(1, 16)",0.43
"(1, 17)",0.4
"(1, 18)",0.36
"(1, 19)",0.36
"(1, 20)",0.42
"(1, 21)",0.43
"(1, 22)",0.44
"(1, 23)",0.44
"(1, 24)",0.44
"(1, 25)",0.41
"(1, 26)",0.39
"(1, 27)",0.38
"(1, 28)",0.38
"(1, 29)",0.4
"(1, 30)",0.38
"(1, 31)",0.37
"(1, 32)",0.37
"(1, 33)",0.36
"(1, 34)",0.36
"(1, 35)",0.36
"(1, 36)",0.35
"(1, 37)",0.36
"(1, 38)",0.36
"(1, 39)",0.36
"(1, 40)",0.36
"(1, 41)",0.43
"(1, 42)",0.75
"(1, 43)",0.64
"(1, 44)",0.48
"(1, 45)",0.45
"(1, 46)",0.44
"(1, 47)",0.27
"(1, 48)",0.26
"(1, 49)",0.26
"(1, 50)",0.26
"(1, 51)",0.26
"(1, 52)",0.43
"(1, 53)",0.45
"(1, 54)",0.51
"(1, 55)",0.58
"(1, 56)",0.47
"(1, 57)",0.47
"(1, 58)",0.5
"(1, 59)",0.59
"(1, 60)",0.64
"(1, 61)",0.64
"(1, 62)",0.58
"(1, 63)",0.51
"(1, 64)",0.31
"(1, 65)",0.28
"(1, 66)",0.29
"(2, 0)",0.18
"(2, 1)",0.18
"(2, 2)",0.23
"(2, 3)",0.25
"(2, 4)",0.2
"(2, 5)",0.18
"(2, 6)",0.18
"(2, 7)",0.23
"(2, 8)",0.22
"(2, 9)",0.15
"(2, 10)",0.15
"(2, 11)",0.15
"(2, 12)",0.19
"(2, 13)",0.36
"(2, 14)",0.3
"(2, 15)",0.27
"(2, 16)",0.28
"(2, 17)",0.25
"(2, 18)",0.23
"(2, 19)",0.24
"(2, 20)",0.27
"(2, 21)",0.26
"(2, 22)",0.27
"(2, 23)",0.28
"(2, 24)",0.29
"(2, 25)",0.27
"(2, 26)",0.27
"(2, 27)",0.24
"(2, 28)",0.24
"(2, 29)",0.25
"(2, 30)",0.22
"(2, 31)",0.21
"(2, 32)",0.21
"(2, 33)",0.2
"(2, 34)",0.2
"(2, 35)",0.2
"(2, 36)",0.19
"(2, 37)",0.21
"(2, 38)",0.21
"(2, 39)",0.21
"(2, 40)",0.21
"(2, 41)",0.25
"(2, 42)",0.43
"(2, 43)",0.36
"(2, 44)",0.28
"(2, 45)",0.28
"(2, 46)",0.26
"(2, 47)",0.17
"(2, 48)",0.17
"(2, 49)",0.17
"(2, 50)",0.17
"(2, 51)",0.16
"(2, 52)",0.39
"(2, 53)",0.35
"(2, 54)",0.33
"(2, 55)",0.35
"(2, 56)",0.26
"(2, 57)",0.26
"(2, 58)",0.27
"(2, 59)",0.35
"(2, 60)",0.37
"(2, 61)",0.38
"(2, 62)",0.37
"(2, 63)",0.35
"(2, 64)",0.22
"(2, 65)",0.18
"(2, 66)",0.19
"(3, 0)",0.2
"(3, 1)",0.2
"(3, 2)",0.25
"(3, 3)",0.27
"(3, 4)",0.22
"(3, 5)",0.2
"(3, 6)",0.2
"(3, 7)",0.25
"(3, 8)",0.24
"(3, 9)",0.17
"(3, 10)",0.17
"(3, 11)",0.17
"(3, 12)",0.2
"(3, 13)",0.34
"(3, 14)",0.29
"(3, 15)",0.26
"(3, 16)",0.28
"(3, 17)",0.25
"(3, 18)",0.23
"(3, 19)",0.25
"(3, 20)",0.27
"(3, 21)",0.26
"(3, 22)",0.27
"(3, 23)",0.28
"(3, 24)",0.29
"(3, 25)",0.27
"(3, 26)",0.27
"(3, 27)",0.25
"(3, 28)",0.25
"(3, 29)",0.26
"(3, 30)",0.23
"(3, 31)",0.22
"(3, 32)",0.22
"(3, 33)",0.21
"(3, 34)",0.21
"(3, 35)",0.2
"(3, 36)",0.19
"(3, 37)",0.21
"(3, 38)",0.21
"(3, 39)",0.21
"(3, 40)",0.21
"(3, 41)",0.25
"(3, 42)",0.42
"(3, 43)",0.36
"(3, 44)",0.28
"(3, 45)",0.28
"(3, 46)",0.26
"(3, 47)",0.15
"(3, 48)",0.15
"(3, 49)",0.15
"(3, 50)",0.15
"(3, 51)",0.14
"(3, 52)",0.42
"(3, 53)",0.4
"(3, 54)",0.37
"(3, 55)",0.38
"(3, 56)",0.27
"(3, 57)",0.27
"(3, 58)",0.27
"(3, 59)",0.35
"(3, 60)",0.37
"(3, 61)",0.39
"(3, 62)",0.38
"(3, 63)",0.36
"(3, 64)",0.23
"(3, 65)",0.19
"(3, 66)",0.2
"(4, 0)",0.21
"(4, 1)",0.21
"(4, 2)",0.26
"(4, 3)",0.28
"(4, 4)",0.23
"(4, 5)",0.21
"(4, 6)",0.21
"(4, 7)",0.28
"(4, 8)",0.27
"(4, 9)",0.19
"(4, 10)",0.18
"(4, 11)",0.18
"(4, 12)",0.21
"(4, 13)",0.35
"(4, 14)",0.3
"(4, 15)",0.27
"(4, 16)",0.35
"(4, 17)",0.34
"(4, 18)",0.33
"(4, 19)",0.35
"(4, 20)",0.37
"(4, 21)",0.36
"(4, 22)",0.38
"(4, 23)",0.39
"(4, 24)",0.41
"(4, 25)",0.4
"(4, 26)",0.41
"(4, 27)",0.39
